Index,Title,Authors,Affiliation,Status,Link
73,Cocktail Party Processing via Structured Prediction,"Yuxuan Wang, Deliang Wang",Department of Computer Science and Engineering; Center for Cognitive Science,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/76dc611d6ebaafc66cc0879c71b5db5c-Abstract.html
74,Coding efficiency and detectability of rate fluctuations with non-Poisson neuronal firing,Shinsuke Koyama,,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/5fd0b37cd7dbbb00f97ba6ce92bf5add-Abstract.html
75,Collaborative Gaussian Processes for Preference Learning,"Neil Houlsby, Ferenc Huszar, Zoubin Ghahramani, Jose M. Hernández-lobato",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/afdec7005cc9f14302cd0474fd0f3c96-Abstract.html
76,Collaborative Ranking With 17 Parameters,"Maksims Volkovs, Richard S. Zemel",University of Toronto,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/3b712de48137572f3849aabd5666a4e3-Abstract.html
77,Communication-Efficient Algorithms for Statistical Optimization,"Yuchen Zhang, Martin J. Wainwright, John C. Duchi",Massachusetts Institute of Technology; University Affiliation Not Specified,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/e7f8a7fb0b77bcb3b283af5be021448f-Abstract.html
78,Communication/Computation Tradeoffs in Consensus-Based Distributed Optimization,"Konstantinos Tsianos, Sean Lawlor, Michael G. Rabbat",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/d240e3d38a8882ecad8633c8f9c78c9b-Abstract.html
79,Complex Inference in Neural Circuits with Probabilistic Population Codes and Topic Models,"Jeff Beck, Alexandre Pouget, Katherine A. Heller",University of Rochester; Duke University; University of Geneva,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/b7087c1f4f89e63af8d46f3b20271153-Abstract.html
80,"Compressive neural representation of sparse, high-dimensional probabilities",Zachary Pitkow,University of Rochester,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/26408ffa703a72e8ac0117e74ad46f33-Abstract.html
81,Compressive Sensing MRI with Wavelet Tree Sparsity,"Chen Chen, Junzhou Huang",University of Texas at Arlington,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/65658fde58ab3c2b6e5132a39fae7cb9-Abstract.html
82,Confusion-Based Online Learning and a Passive-Aggressive Scheme,Liva Ralaivola,,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/bc7316929fe1545bf0b98d114ee3ecb8-Abstract.html
83,Context-Sensitive Decision Forests for Object Detection,"Peter Kontschieder, Samuel R. Bulò, Antonio Criminisi, Pushmeet Kohli, Marcello Pelillo, Horst Bischof",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/bcbe3365e6ac95ea2c0343a2395834dd-Abstract.html
84,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,"Yichuan Zhang, Zoubin Ghahramani, Amos J. Storkey, Charles A. Sutton",University of Edinburgh; University of Cambridge,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/c913303f392ffc643f7240b180602652-Abstract.html
85,Controlled Recognition Bounds for Visual Learning and Exploration,"Vasiliy Karasev, Alessandro Chiuso, Stefano Soatto",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/2a50e9c2d6b89b95bcb416d6857f8b45-Abstract.html
86,Convergence and Energy Landscape for Cheeger Cut Clustering,"Xavier Bresson, Thomas Laurent, David Uminsky, James V. Brecht","City University of Hong Kong; University of California, Riverside; University of San Francisco; University of California, Los Angeles",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/17c276c8e723eb46aef576537e9d56d0-Abstract.html
87,Convergence Rate Analysis of MAP Coordinate Minimization Algorithms,"Ofer Meshi, Amir Globerson, Tommi S. Jaakkola",Hebrew University of Jerusalem; Massachusetts Institute of Technology,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/bad5f33780c42f2588878a9d07405083-Abstract.html
88,Convex Multi-view Subspace Learning,"Martha White, Xinhua Zhang, Dale Schuurmans, Yao-liang Yu",University of Alberta; National ICT Australia,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/1141938ba2c2b13f5505d7c424ebae5f-Abstract.html
89,Convolutional-Recursive Deep Learning for 3D Object Classification,"Richard Socher, Brody Huval, Bharath Bath, Christopher D. Manning, Andrew Y. Ng",Stanford University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/3eae62bba9ddf64f69d49dc48e2dd214-Abstract.html
90,Cost-Sensitive Exploration in Bayesian Reinforcement Learning,"Dongho Kim, Kee-eung Kim, Pascal Poupart",University of Cambridge; KAIST; University of Waterloo,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/6d9c547cf146054a5a720606a7694467-Abstract.html
91,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,"Dahua Lin, John W. Fisher",Massachusetts Institute of Technology,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/1c383cd30b7c298ab50293adfecb7b18-Abstract.html
92,CPRL -- An Extension of Compressive Sensing to the Phase Retrieval Problem,"Henrik Ohlsson, Allen Yang, Roy Dong, Shankar Sastry","Linköping University; University of California, Berkeley",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/3a066bda8c96b9478bb0512f0a43028c-Abstract.html
93,Deep Learning of Invariant Features via Simulated Fixations in Video,"Will Zou, Shenghuo Zhu, Kai Yu, Andrew Y. Ng","Stanford University; NEC Laboratories America, Inc.",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/13d7dc096493e1f77fb4ccf3eaf79df1-Abstract.html
94,Deep Neural Networks Segment Neuronal Membranes in Electron Microscopy Images,"Dan Ciresan, Alessandro Giusti, Luca M. Gambardella, Jürgen Schmidhuber",Institute of Digital Technologies; Università della Svizzera italiana,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/459a4ddcb586f24efd9395aa7662bc7c-Abstract.html
95,Deep Representations and Codes for Image Auto-Annotation,"Ryan Kiros, Csaba Szepesvári",University of Alberta,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/3c7781a36bcd6cf08c11a970fbe0e2a6-Abstract.html
96,Deep Spatio-Temporal Architectures and Learning for Protein Structure Prediction,"Pietro D. Lena, Ken Nagata, Pierre F. Baldi","University of California, Irvine",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/8c19f571e251e61cb8dd3612f26d5ecf-Abstract.html
97,Delay Compensation with Dynamical Synapses,"Chi Fung, K. Wong, Si Wu",Hong Kong University of Science and Technology; Beijing Normal University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/85422afb467e9456013a2a51d4dff702-Abstract.html
98,Density Propagation and Improved Bounds on the Partition Function,"Stefano Ermon, Ashish Sabharwal, Bart Selman, Carla P. Gomes",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/e00406144c1e7e35240afed70f34166a-Abstract.html
99,Density-Difference Estimation,"Masashi Sugiyama, Takafumi Kanamori, Taiji Suzuki, Marthinus D. Plessis, Song Liu, Ichiro Takeuchi",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/f2fc990265c712c49d51a18a32b39f0c-Abstract.html
100,Diffusion Decision Making for Adaptive k-Nearest Neighbor Classification,"Yung-kyun Noh, Frank Park, Daniel D. Lee",Seoul National University; University of Pennsylvania,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/6395ebd0f4b478145ecfbaf939454fa4-Abstract.html
101,Dimensionality Dependent PAC-Bayes Margin Bound,"Chi Jin, Liwei Wang",Peking University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/7380ad8a673226ae47fce7bff88e9c33-Abstract.html
102,Dip-means: an incremental clustering method for estimating the number of clusters,"Argyris Kalogeratos, Aristidis Likas",University of Ioannina,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/a8240cb8235e9c493a0c30607586166c-Abstract.html
103,Discriminative Learning of Sum-Product Networks,"Robert Gens, Pedro Domingos",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/573f7f25b7b1eb79a4ec6ba896debefd-Abstract.html
104,Discriminatively Trained Sparse Code Gradients for Contour Detection,"Ren Xiaofeng, Liefeng Bo",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/16a5cdae362b8d27a1d8f8c7b78b4330-Abstract.html
105,Distributed Non-Stochastic Experts,"Varun Kanade, Zhenming Liu, Bozidar Radunovic","University of California, Berkeley; Harvard University; Princeton University; Microsoft",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/1385974ed5904a438616ff7bdb3f7439-Abstract.html
106,Distributed Probabilistic Learning for Camera Networks with Missing Data,"Sejong Yoon, Vladimir Pavlovic",Rutgers University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/bb7946e7d85c81a9e69fee1cea4a087c-Abstract.html
